I|2319
D|2319
I|25549
I|10442
I|10999
I|20625
I|11167
I|18279
D|18279
I|23164
I|19030
I|5270
I|4953
I|32081
I|18298
D|18298
I|32167
I|4152
I|18613
I|25643
I|2425
I|17131
D|17131
I|7642
I|26669
D|26669
I|744
I|14895
I|22118
I|30551
D|30551
I|4486
I|26391
I|24819
I|4627
I|15892
I|17798
D|17798
I|11664
I|26081
I|18189
I|21686
I|27198
I|28117
I|17692
I|24501
I|3955
I|25365
I|8097
I|5602
I|15514
D|15514
I|32092
I|20784
I|29557
I|25746
I|889
I|31762
D|31762
I|31220
I|18987
I|11217
D|11217
I|20162
D|20162
I|14527
I|19628
I|19673
I|14449
I|9605
D|9605
I|1103
I|23964
D|23964
I|28034
I|17612
D|17612
I|11971
I|17979
I|15375
I|8813
I|27561
I|104
I|12386
I|6678
D|6678
I|18712
I|2026
I|2429
I|28614
I|8217
I|6941
I|32147
I|14421
I|16684
I|19311
D|19311
I|20108
I|4585
I|28865
I|24035
I|11909
D|11909
I|11394
I|13247
I|31634
I|29773
I|8815
D|8815
I|27649
I|12837
I|8169
I|8406
D|8406
I|17620
I|17500
I|12049
I|24624
I|28538
I|19082
I|16818
I|27850
D|27850
I|12202
I|8983
I|3690
I|16198
I|14350
I|13053
I|9998
I|9496
I|22211
I|30283
I|3367
D|3367
I|30985
I|29149
I|24741
I|5745
I|11192
I|21472
I|3522
I|8539
I|7188
D|7188
I|18504
I|16877
I|6538
I|16355
I|2050
I|14980
D|14980
I|19541
I|7230
D|7230
I|30192
I|20092
I|3402
I|3602
I|11113
I|24283
I|10920
I|25248
I|21687
I|5948
D|5948
I|12771
I|16382
I|23960
I|32335
I|1060
D|1060
I|23957
I|28093
I|22103
I|15046
I|3233
I|13646
I|19882
I|23514
D|23514
I|4276
I|2404
D|2404
I|32564
I|24227
I|18483
I|20621
I|17140
I|27
I|9431
I|16204
I|20093
I|26476
I|29741
I|25750
I|9590
D|9590
I|6776
I|30742
D|30742
I|1622
I|23067
I|16977
I|20296
D|20296
I|19946
I|7610
I|16322
I|11724
I|17571
I|8503
I|4036
I|25982
I|8265
I|17801
I|10
I|16015
I|24469
I|7226
D|7226
I|13174
I|8198
I|14006
D|14006
I|14315
I|30369
I|2107
I|19404
I|19661
D|19661
I|25687
I|21851
I|17264
I|8489
I|23064
I|24039
I|7466
I|19929
I|15513
I|22837
I|24569
I|20173
D|20173
I|3137
I|6125
I|5839
D|5839
I|25479
I|18860
I|3213
D|3213
I|7442
D|7442
I|16287
I|10795
D|10795
I|9190
I|15132
I|2880
I|7234
I|28061
D|28061
I|4795
I|13225
I|7209
I|5291
I|23474
I|2988
D|2988
I|22604
I|10205
I|28727
D|28727
I|15411
I|9674
D|9674
I|12884
D|12884
I|10611
I|1206
I|17658
I|9221
I|3077
I|19398
I|30177
I|2619
I|17535
I|32646
I|23741
I|6160
I|29671
D|29671
I|17964
I|13950
I|32504
I|19512
I|32388
I|23879
I|5943
I|31966
D|31966
I|4206
I|7410
I|22629
I|28478
I|3419
I|22409
I|8689
I|21291
I|8404
I|31182
I|21403
I|31602
I|20723
I|16308
D|16308
I|13817
